Project,Bug,Method,Depth,Tarantula-hit,Tarantula-freq-ef_ep_nf_np
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getLegendItems()Lorg/jfree/chart/LegendItemCollection;,1,13.5,24.0
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getLegendItems()Lorg/jfree/chart/LegendItemCollection;,1,13.5,24.0
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getLegendItems()Lorg/jfree/chart/LegendItemCollection;,1,13.5,24.0
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getLegendItems()Lorg/jfree/chart/LegendItemCollection;,1,13.5,24.0
Chart,10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator.generateToolTipFragment(Ljava/lang/String;)Ljava/lang/String;,1,2.0,2.0
Chart,11,org.jfree.chart.util.ShapeUtilities.equal(Ljava/awt/geom/GeneralPath;Ljava/awt/geom/GeneralPath;)Z,1,2.0,2.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,2,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,2,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,2,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,2,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,2,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,2,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,2,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,2,6.0,19.0
